,carat,depth,table,x,y,z,Y22_FaceArea,Y22_Volume,Y22_FaceDiagonal,Y22_XYRatio,Y22_XZRatio,Y22_YZRatio,Y22_XYAbsDiff,Y22_XZAbsDiff,Y22_YZAbsDiff,Y22_XYNormalizedDiff,Y22_XZNormalizedDiff,Y22_YZNormalizedDiff,Y22_XYSymmetryProxy,Y22_MeanXY,Y22_MeanXYZ,Y22_MaxDimension,Y22_MinDimension,Y22_DimensionRange,Y22_DimensionStd,Y22_DimensionCV,Y22_XPerCaratCubeRoot,Y22_YPerCaratCubeRoot,Y22_ZPerCaratCubeRoot,Y22_MeanXYPerCaratCubeRoot,Y22_MeanXYZPerCaratCubeRoot,Y22_CaratPerVolume,Y22_VolumePerCarat,Y22_CaratPerFaceArea,Y22_FaceAreaPerCarat,Y22_CaratPerMeanDimension,Y22_CalculatedDepthPct,Y22_DepthError,Y22_AbsDepthError,Y22_DepthTableRatio,Y22_TableDepthRatio,Y22_DepthToFaceDiagonal,Y22_DepthToFaceArea,Y22_Compactness,Y22_VolumeToMeanCube,Y22_DepthTimesTable,Y22_CaratTimesDepth,Y22_CaratTimesTable,Y22_CaratTimesXYAsymmetry,Y22_VolumeTimesDepth,Y22_FaceAreaTimesDepth
Y22_XZRatio,0.0069941396173879835,-0.7655912981125559,0.26600577300651446,0.05306463611662959,0.0467168190201462,-0.0682170300053577,0.05240474440676582,0.010904471905391528,0.0499742544440252,0.13123195767249335,1.0,0.9460756993584459,0.038670422047375204,0.24030630690315394,0.2272078696592291,0.026575971167840245,0.9368859016525833,0.867607638788927,-0.02657597116784165,0.049918445938117666,0.021979983370591417,0.050298905830174434,-0.0681924951610987,0.23339746433266315,0.23478658151096862,0.9101784105625765,0.6738828110496466,0.5186534714125811,-0.8524279142737387,0.6353360205090057,0.33476071530376394,0.1690604081596493,0.09171557402869553,-0.07774938752961966,0.07075311909263125,-0.001043656441343422,-0.8893243795186022,0.5131916974162406,0.3916816371365761,-0.5486478420502319,0.5540053318919909,-0.8899834468855313,-0.148417709854287,-0.30623300396349756,-0.9733213327692484,-0.20214198986819032,-0.02702949478493643,0.024783862463997566,0.01638874470489773,-0.02321371611218908,0.002634496709825724
Y22_YZRatio,-0.0414818081471477,-0.7726084725519434,0.21589747733497192,-0.002176504918972548,0.007778520354782661,-0.11548263598313535,0.005556931978948386,-0.03552607998440297,0.0027029401696177916,-0.1941387404386282,0.9460756993584459,1.0,-0.08606395099240517,0.17460856257288437,0.20297064054341732,-0.08980078790907015,0.8756618699392644,0.9356796545106701,0.0898007879090687,0.0027839778393352996,-0.02526081381119901,0.0014439526531987953,-0.11545876482771923,0.18378879213450663,0.18731269094758915,0.9030839918183172,0.584585495424384,0.6644217932805994,-0.8250544646904384,0.6713378951945695,0.3863887500296427,0.10951764265034053,0.14643222310051182,-0.13188369726613416,0.12154568473029,-0.051219870175433446,-0.893312123007431,0.5044036293544025,0.37359265330185043,-0.514591543076222,0.5176550580792176,-0.8928676840896027,-0.10329883324049298,-0.36859566091928203,-0.9659678121067609,-0.25578776938367453,-0.07565486576120882,-0.02612102239832647,-0.10719747231611747,-0.06979842724047833,-0.04447567776661403
Y22_XYAbsDiff,0.2595705625191649,0.029053403738386312,0.14972086977116705,0.2719595008732611,0.25486250103135977,0.26823476848343536,0.2585548332377079,0.2541070395656597,0.26430114239178953,0.42906791361363117,0.038670422047375204,-0.08606395099240517,1.0,0.267993003506178,0.22388803041230107,0.95837075276794,0.025114854216836346,-0.1215774545145005,-0.9583707527679414,0.2635277543106513,0.26506470801481363,0.27779721989872186,0.2682367730977681,0.2829051298117682,0.2613227003321102,0.0214618072893219,0.023110459646985614,-0.21967578187547096,-0.025745091965997478,-0.11127205287603778,-0.1341676754700514,0.19030104236080903,-0.12125236100507504,0.2855266793302961,-0.2710558168374081,0.26927531090849294,0.0503429455648796,-0.07324757261537485,0.17754766407545552,-0.09850068561066792,0.10466197440153073,0.0436434116090853,-0.2540451633689174,0.19808911673582769,-0.018432189499490798,0.16560336423833252,0.26056549750751024,0.26497546632330027,0.8905739100444937,0.2551853557454668,0.2603644742609902
Y22_XZAbsDiff,0.9451491753879878,-0.21315482110363285,0.2541519229540244,0.9780476902520059,0.9752681761358954,0.9414277426141933,0.9733845671687303,0.949007368034159,0.9770007439289807,0.18444330119663035,0.24030630690315394,0.17460856257288437,0.267993003506178,1.0,0.9915803848054219,0.018863244406627382,0.26036281250778465,0.18060286223912528,-0.01886324440662709,0.9769815726254465,0.9701085624723472,0.9770340736854636,0.9414408425386449,0.9980701651374813,0.9981304603142458,0.22502840548356903,0.11416326843427954,-0.031092219217029936,-0.31014376778362535,0.040975787143294966,-0.08852725930360614,0.16441611673951162,-0.16289541476016467,0.9253304492246774,-0.912866949590112,0.9551234218280737,-0.22247211338381181,0.061441465075114166,0.03272927498879264,-0.2916387332256159,0.29275342082956507,-0.22267578764633866,-0.974628411493998,0.09277126633930936,-0.22389026855676,0.12299636343336688,0.9318906660905751,0.9474112770333668,0.5342720618118536,0.9366815004601678,0.958365080232182
Y22_YZAbsDiff,0.9407375056822845,-0.22366411966463104,0.2398733155521647,0.9726009053972307,0.9764458436213792,0.9380112394202744,0.970877272899532,0.945605445467515,0.9748021233596462,0.05838938479704914,0.2272078696592291,0.20297064054341732,0.22388803041230107,0.9915803848054219,1.0,-0.02568667881279457,0.24485058014244593,0.21515215587454178,0.025686678812794985,0.974834377137286,0.9676568989471352,0.9742180337680466,0.9380246180584811,0.9962899853059649,0.9972148312986103,0.2307628139313105,0.08492128918643792,0.029930955350378367,-0.308062057625235,0.06021150369036108,-0.06635584191646261,0.142362446134456,-0.14180525929096413,0.9186337107265061,-0.9082043512052838,0.9505601652455722,-0.23234533575078942,0.060920962181472214,0.02786384283061355,-0.2859555477705095,0.28613335093786085,-0.23213130614552785,-0.9745022181993583,0.06666193734517738,-0.22933157579775193,0.10257767072548989,0.9269862243020458,0.9420761043189476,0.4918870208281496,0.9328000999012407,0.9552092224869709
Y22_XYNormalizedDiff,0.010127386525219429,0.03499818322345373,0.10376307815977713,0.017036647830446557,-0.00044878970554260383,0.01547208068044499,0.004541503723625516,0.004086271053021999,0.00915839154246495,0.41061654119350977,0.026575971167840245,-0.08980078790907015,0.95837075276794,0.018863244406627382,-0.02568667881279457,1.0,0.011197498896866224,-0.12538169110603453,-1.0000000000000053,0.008328151990798116,0.010035765891865969,0.02301934473715055,0.015472825297676827,0.033980913896084756,0.012569092352012064,0.018450386822521793,0.03793515762868768,-0.18600535568971785,0.008449277894901713,-0.08482176848494101,-0.09015930288087642,0.15198882880510206,-0.0699397598933609,0.03678864348557266,-0.025722976052756964,0.016731386391362957,0.05854882957716716,-0.08144614888893434,0.18763915438014858,-0.06059079334899069,0.06650229630292286,0.051318312695447794,-0.004427335586277614,0.1584437755918972,-0.013085458206583349,0.12351935989012691,0.012081215652656758,0.015969783400653748,0.7542192879993879,0.005867834216463635,0.006760920752642326
Y22_XZNormalizedDiff,0.00259408553949918,-0.9147814830137316,0.3128492657411965,0.05697346311768622,0.049565765811284926,-0.07477347314093152,0.05648446175129791,0.012963754184685018,0.05334635498921058,0.1505551954465468,0.9368859016525833,0.8756618699392644,0.025114854216836346,0.26036281250778465,0.24485058014244593,0.011197498896866224,1.0,0.9216209806113407,-0.011197498896867471,0.053300345586435115,0.023010208677756317,0.05345528373821138,-0.07473615340777438,0.25157674002865543,0.25337092287642354,0.9807079791795096,0.8002081761374339,0.6189763342312914,-0.8869158324923678,0.7561706177815752,0.4535101071068284,-0.060785014626139104,0.1940215384926401,-0.09897865580829639,0.09002101516426349,-0.009300766784962892,-0.9763036951292331,0.3334704172084705,0.15151290789932215,-0.6523194212327756,0.6572163804794164,-0.9768925935824153,-0.1623789035062603,-0.44699924726392737,-0.9631783201372244,-0.24619080862576406,-0.03809139236524701,0.02377657974138487,0.007190370196808388,-0.02788292349598618,-0.002937897749165379
Y22_YZNormalizedDiff,-0.055625426069929776,-0.9195692987960314,0.2514846503378988,-0.009327469646801265,0.0029551652365656434,-0.13092027087789787,0.0003132830675159721,-0.042531825252011886,-0.003327816081264684,-0.24304322678416082,0.867607638788927,0.9356796545106701,-0.1215774545145005,0.18060286223912528,0.21515215587454178,-0.12538169110603453,0.9216209806113407,1.0,0.12538169110603284,-0.0032093308226156373,-0.0335035940956013,-0.005073352226022269,-0.13088338303452843,0.1913991149986781,0.19563571595330798,0.9680742879923612,0.695191782987714,0.7962782452735462,-0.8458356760401822,0.801801315895684,0.5217019426270708,-0.140585741690312,0.2678015359597293,-0.16435299082603735,0.15142966909779026,-0.06970247493483665,-0.97693548165539,0.32070480380184085,0.13287569026320936,-0.608767130985057,0.6110200078558784,-0.9761721973460707,-0.10777220648576362,-0.5279272176158751,-0.9500290651173503,-0.30964525058417836,-0.09635733633125099,-0.03742654636258967,-0.14768362760003606,-0.08343161855599054,-0.05921874294952036
Y22_XYSymmetryProxy,-0.010127386525218421,-0.0349981832234533,-0.1037630781597764,-0.017036647830445895,0.000448789705543309,-0.015472080680444157,-0.004541503723624785,-0.004086271053021108,-0.009158391542464296,-0.41061654119351304,-0.02657597116784165,0.0898007879090687,-0.9583707527679414,-0.01886324440662709,0.025686678812794985,-1.0000000000000053,-0.011197498896867471,0.12538169110603284,1.0,-0.008328151990797438,-0.010035765891865094,-0.023019344737149967,-0.01547282529767601,-0.0339809138960845,-0.012569092352011632,-0.018450386822522986,-0.03793515762868879,0.1860053556897174,-0.008449277894900535,0.08482176848494015,0.09015930288087624,-0.1519888288051025,0.06993975989336144,-0.036788643485572106,0.025722976052756273,-0.01673138639136206,-0.0585488295771664,0.0814461488889326,-0.18763915438014764,0.060590793348991125,-0.06650229630292245,-0.05131831269544684,0.004427335586277156,-0.1584437755918968,0.013085458206584561,-0.12351935989012726,-0.012081215652655955,-0.01596978340065277,-0.7542192879993923,-0.005867834216462627,-0.006760920752641375
Y22_MeanXY,0.978000645371132,-0.02459032747654351,0.19462284483475695,0.9996762043515215,0.9996715022068953,0.991189754912348,0.9951053399148687,0.9794372682464106,0.9999994057359727,0.1351477105831386,0.049918445938117666,0.0027839778393352996,0.2635277543106513,0.9769815726254465,0.974834377137286,0.008328151990798116,0.053300345586435115,-0.0032093308226156373,-0.008328151990797438,1.0,0.9995064904792718,0.999890138564772,0.9911950536828388,0.9781517583465817,0.9779700666264359,0.02430225144381113,-0.061640026883355827,-0.15615966005474968,-0.13341809521183845,-0.11903377376186379,-0.18921790410831174,0.18771993692966332,-0.21126549347092097,0.979994066723764,-0.9641410765973851,0.9911659606466486,-0.022993981665901705,-0.0015679232455825434,0.00923680520667077,-0.1612376147171557,0.1610197143478768,-0.022990310083496116,-0.976059376624545,0.19227616978863535,-0.029323545062688805,0.17878210626762708,0.973844008720631,0.9751757281410732,0.543839802135309,0.9762814363179554,0.9931323903096064
Y22_MeanXYZ,0.9792496193523024,0.004726293742728503,0.18591300494692292,0.9992211482948817,0.9991395841332689,0.9948612271650104,0.9944632785194227,0.9802401267039769,0.9995067631845039,0.13658167675671568,0.021979983370591417,-0.02526081381119901,0.26506470801481363,0.9701085624723472,0.9676568989471352,0.010035765891865969,0.023010208677756317,-0.0335035940956013,-0.010035765891865094,0.9995064904792718,1.0,0.9994226140879393,0.994865261335196,0.97124490306908,0.9709628368041255,-0.0065026627415405835,-0.08570529444938799,-0.17893380473118964,-0.10635549766896452,-0.14410524474761177,-0.20526589967781333,0.19209971979582688,-0.21924873715155702,0.9846942526141277,-0.9682436638431279,0.9928529422243338,0.007929532205288414,-0.011072907032816513,0.006071616687826955,-0.1413375276936049,0.14098964450495707,0.007933228227603395,-0.9722566944816233,0.2084292453598178,0.0005439461527781038,0.18798243572029233,0.9765192175137749,0.9757384632600383,0.5462078169268231,0.9785156963873085,0.9945139335332804
Y22_MaxDimension,0.9779214734476828,-0.024040992003181418,0.19611411438698062,0.9996972440900171,0.9994298646278035,0.9911901959523269,0.9949394085399217,0.9792684548938659,0.999901430370741,0.14117831799510563,0.050298905830174434,0.0014439526531987953,0.27779721989872186,0.9770340736854636,0.9742180337680466,0.02301934473715055,0.05345528373821138,-0.005073352226022269,-0.023019344737149967,0.999890138564772,0.9994226140879393,1.0,0.9911954694081389,0.9784285018557355,0.9779159313798602,0.024520704215755803,-0.06102916598690685,-0.1588860491062343,-0.13324081326256607,-0.12024901216254819,-0.19048534727444807,0.18985728100025107,-0.2122391062633317,0.9803055290996756,-0.9642961935718776,0.9911810602046348,-0.022112509101782866,-0.0027247397911526797,0.011964479681289612,-0.16208038991388474,0.16195805626055518,-0.022211790802548127,-0.9759017294402267,0.19451462688838037,-0.02948022065400922,0.1805836913751657,0.973797427593422,0.9751913613938896,0.5552620722087105,0.9761423412933231,0.993002498661068
Y22_MinDimension,0.9766906677662749,0.09918336895198239,0.15658921429747621,0.9910355905591929,0.9907067986776525,0.9999999310602724,0.985707012002578,0.9762354740316372,0.9911981189853042,0.14028598297722708,-0.0681924951610987,-0.11545876482771923,0.2682367730977681,0.9414408425386449,0.9380246180584811,0.015472825297676827,-0.07473615340777438,-0.13088338303452843,-0.01547282529767601,0.9911950536828388,0.994865261335196,0.9911954694081389,1.0,0.942460556835705,0.9418568916792932,-0.10570588581286744,-0.16269211839867107,-0.2511330957329026,-0.01848663857535812,-0.22394278489185382,-0.2556394451740826,0.20494894008602646,-0.24354936075883524,0.9932220388887674,-0.9749556245999554,0.9916146502199029,0.10749717279490051,-0.04148120431281243,-0.004324596186963419,-0.0762470694860577,0.07548262111453335,0.1075009036025191,-0.9534692610474005,0.25911398191068447,0.09678869090069753,0.21637005982104981,0.9785755124190751,0.9709912560380713,0.5501678050040129,0.9791361435948014,0.9922795655918591
Y22_DimensionRange,0.9453127401766047,-0.21545121614776358,0.2508577614476122,0.9779135139178763,0.9777513931266858,0.9424473493053275,0.9742141648484105,0.9494239800563639,0.9781754867407767,0.1375857562950684,0.23339746433266315,0.18378879213450663,0.2829051298117682,0.9980701651374813,0.9962899853059649,0.033980913896084756,0.25157674002865543,0.1913991149986781,-0.0339809138960845,0.9781517583465817,0.97124490306908,0.9784285018557355,0.942460556835705,1.0,0.999647656888526,0.22683911996479283,0.09974388509694809,-0.009348839024868204,-0.30757985066915844,0.04578357023577381,-0.08210380167597893,0.1596071287905261,-0.15589384640849055,0.9255394677407773,-0.9136169755764919,0.955507298897921,-0.22355343270256853,0.0578406966555517,0.03695683203970252,-0.29027778421987355,0.29116162047486693,-0.22380993272095184,-0.9764439071378923,0.08685634267805409,-0.22544861033760386,0.11837234733455386,0.9319590217452886,0.9473118328000386,0.5436047805984638,0.937005041478411,0.9590688737370046
Y22_DimensionStd,0.9450425154533153,-0.21870545435156982,0.24785023395883446,0.9775642997672287,0.977738554572566,0.9418436616784539,0.9741432835665793,0.9492939527225746,0.9779859176204487,0.13081665428143258,0.23478658151096862,0.18731269094758915,0.2613227003321102,0.9981304603142458,0.9972148312986103,0.012569092352012064,0.25337092287642354,0.19563571595330798,-0.012569092352011632,0.9779700666264359,0.9709628368041255,0.9779159313798602,0.9418568916792932,0.999647656888526,1.0,0.2292875803439203,0.10075149654309458,-0.003982726836508684,-0.3092495948535766,0.04930585829196357,-0.07892903358979353,0.15691690523232696,-0.15334449859141192,0.9245201845353204,-0.9126919743232829,0.9550568004257937,-0.22670762124648347,0.057993566878006025,0.03535477558096036,-0.28956866796139974,0.29023192531127645,-0.226904322816204,-0.9764624365961051,0.08307714461757787,-0.22764939102270149,0.1134372653988675,0.9315204317174487,0.9468637548859888,0.5271698274403519,0.936711182024448,0.9587783559205808
Y22_DimensionCV,-0.02826177793215652,-0.9438995233205432,0.28980891892385585,0.023836135371407316,0.024755830102528298,-0.10574693068315827,0.027574107349474162,-0.01626372403403799,0.02437573867474745,-0.005832124372436624,0.9101784105625765,0.9030839918183172,0.0214618072893219,0.22502840548356903,0.2307628139313105,0.018450386822521793,0.9807079791795096,0.9680742879923612,-0.018450386822522986,0.02430225144381113,-0.0065026627415405835,0.024520704215755803,-0.10570588581286744,0.22683911996479283,0.2292875803439203,1.0,0.7740610342055861,0.7136295518997493,-0.8796906694539203,0.795833798624964,0.5004922119072441,-0.11026905246956949,0.24170349168204017,-0.1342931779273409,0.12466949437554105,-0.04138313320593557,-0.9938303099902359,0.30017743887057546,0.14014699377171522,-0.6485900690036338,0.6519633112308966,-0.9947337647722407,-0.13624810898878464,-0.4936476004794522,-0.9713596426327816,-0.28653470426802086,-0.07015098250458902,-0.008013878472972887,-0.01016334855697794,-0.058333886419327734,-0.03362723082454586
