Feature_A,Feature_B,Correlation,Absolute_Correlation
x,Y21_MinDimension,0.9910355905591929,0.9910355905591929
x,z,0.9910302731578735,0.9910302731578735
y,Y21_MinDimension,0.9907067986776525,0.9907067986776525
y,z,0.9907015221415155,0.9907015221415155
y,Y21_CaratPerMeanDimension,0.9904056486640251,0.9904056486640251
Y21_FaceArea,Y21_VolumeTimesDepth,0.9903263239039811,0.9903263239039811
Y21_CaratTimesTable,Y21_FaceAreaTimesDepth,0.9900053852023638,0.9900053852023638
Y21_FaceArea,Y21_CaratTimesTable,0.9896663690942914,0.9896663690942914
Y21_CaratPerFaceArea,Y21_CaratPerMeanDimension,0.9887013867430402,0.9887013867430402
Y21_FaceArea,Y21_CaratTimesDepth,0.9876884887655935,0.9876884887655935
Y21_FaceArea,Y21_MinDimension,0.985707012002578,0.985707012002578
z,Y21_FaceArea,0.9857016798549547,0.9857016798549547
Y21_MeanXYZ,Y21_CaratPerFaceArea,0.9846942526141277,0.9846942526141277
Y21_MeanXYZPerCaratCubeRoot,Y21_Compactness,-0.9845160373819616,0.9845160373819616
Y21_CaratPerFaceArea,Y21_FaceAreaTimesDepth,0.9834128709066142,0.9834128709066142
Y21_XZNormalizedDiff,Y21_DimensionCV,0.9807079791795096,0.9807079791795096
Y21_CaratPerFaceArea,Y21_FaceAreaPerCarat,-0.9806278587531524,0.9806278587531524
x,Y21_CaratPerFaceArea,0.9804670864696755,0.9804670864696755
Y21_MaxDimension,Y21_CaratPerFaceArea,0.9803055290996756,0.9803055290996756
Y21_Volume,Y21_MeanXYZ,0.9802401267039769,0.9802401267039769
Y21_FaceDiagonal,Y21_CaratPerFaceArea,0.9800227849530813,0.9800227849530813
Y21_MeanXY,Y21_CaratPerFaceArea,0.979994066723764,0.979994066723764
Y21_Volume,Y21_MeanXY,0.9794372682464106,0.9794372682464106
Y21_Volume,Y21_FaceDiagonal,0.9794347778069803,0.9794347778069803
x,Y21_Volume,0.9793471589481153,0.9793471589481153
Y21_Volume,Y21_MaxDimension,0.9792684548938659,0.9792684548938659
carat,Y21_MeanXYZ,0.9792496193523024,0.9792496193523024
Y21_MinDimension,Y21_VolumeTimesDepth,0.9791361435948014,0.9791361435948014
z,Y21_VolumeTimesDepth,0.9791321534509124,0.9791321534509124
y,Y21_Volume,0.9788868548022284,0.9788868548022284
y,Y21_CaratPerFaceArea,0.9788760862735906,0.9788760862735906
Y21_MinDimension,Y21_CaratTimesDepth,0.9785755124190751,0.9785755124190751
z,Y21_CaratTimesDepth,0.9785703416798828,0.9785703416798828
Y21_MeanXYZ,Y21_VolumeTimesDepth,0.9785156963873085,0.9785156963873085
Y21_MaxDimension,Y21_DimensionRange,0.9784285018557355,0.9784285018557355
Y21_FaceDiagonal,Y21_DimensionRange,0.9781754867407767,0.9781754867407767
Y21_MeanXY,Y21_DimensionRange,0.9781517583465817,0.9781517583465817
carat,x,0.9781007835167816,0.9781007835167816
x,Y21_XZAbsDiff,0.9780476902520059,0.9780476902520059
carat,Y21_FaceDiagonal,0.9780048637974399,0.9780048637974399
carat,Y21_MeanXY,0.978000645371132,0.978000645371132
Y21_FaceDiagonal,Y21_DimensionStd,0.9779859176204487,0.9779859176204487
Y21_MeanXY,Y21_DimensionStd,0.9779700666264359,0.9779700666264359
carat,Y21_MaxDimension,0.9779214734476828,0.9779214734476828
Y21_MaxDimension,Y21_DimensionStd,0.9779159313798602,0.9779159313798602
x,Y21_DimensionRange,0.9779135139178763,0.9779135139178763
y,Y21_DimensionRange,0.9777513931266858,0.9777513931266858
y,Y21_DimensionStd,0.977738554572566,0.977738554572566
x,Y21_DimensionStd,0.9775642997672287,0.9775642997672287
carat,y,0.9772595487698256,0.9772595487698256
Y21_XZAbsDiff,Y21_MaxDimension,0.9770340736854636,0.9770340736854636
Y21_FaceDiagonal,Y21_XZAbsDiff,0.9770007439289807,0.9770007439289807
Y21_XZAbsDiff,Y21_MeanXY,0.9769815726254465,0.9769815726254465
Y21_YZNormalizedDiff,Y21_CalculatedDepthPct,-0.97693548165539,0.97693548165539
Y21_XZNormalizedDiff,Y21_DepthToFaceDiagonal,-0.9768925935824153,0.9768925935824153
carat,Y21_MinDimension,0.9766906677662749,0.9766906677662749
carat,z,0.9766854393033033,0.9766854393033033
Y21_MeanXYZ,Y21_CaratTimesDepth,0.9765192175137749,0.9765192175137749
Y21_DimensionStd,Y21_DepthToFaceArea,-0.9764624365961051,0.9764624365961051
y,Y21_YZAbsDiff,0.9764458436213792,0.9764458436213792
Y21_DimensionRange,Y21_DepthToFaceArea,-0.9764439071378923,0.9764439071378923
Y21_XZNormalizedDiff,Y21_CalculatedDepthPct,-0.9763036951292331,0.9763036951292331
Y21_MeanXY,Y21_VolumeTimesDepth,0.9762814363179554,0.9762814363179554
Y21_FaceDiagonal,Y21_VolumeTimesDepth,0.9762790248240506,0.9762790248240506
x,Y21_VolumeTimesDepth,0.9762570292425344,0.9762570292425344
Y21_Volume,Y21_MinDimension,0.9762354740316372,0.9762354740316372
z,Y21_Volume,0.9762313959207258,0.9762313959207258
Y21_YZNormalizedDiff,Y21_DepthToFaceDiagonal,-0.9761721973460707,0.9761721973460707
Y21_MaxDimension,Y21_VolumeTimesDepth,0.9761423412933231,0.9761423412933231
Y21_MeanXY,Y21_DepthToFaceArea,-0.976059376624545,0.976059376624545
Y21_FaceDiagonal,Y21_DepthToFaceArea,-0.9760541836645873,0.9760541836645873
y,Y21_DepthToFaceArea,-0.9760539358868447,0.9760539358868447
Y21_MaxDimension,Y21_DepthToFaceArea,-0.9759017294402267,0.9759017294402267
Y21_MeanXYZ,Y21_CaratTimesTable,0.9757384632600383,0.9757384632600383
y,Y21_VolumeTimesDepth,0.9756669113060761,0.9756669113060761
x,Y21_CaratTimesTable,0.9754741895694401,0.9754741895694401
x,Y21_DepthToFaceArea,-0.9754304038418415,0.9754304038418415
y,Y21_XZAbsDiff,0.9752681761358954,0.9752681761358954
Y21_MaxDimension,Y21_CaratTimesTable,0.9751913613938896,0.9751913613938896
Y21_FaceDiagonal,Y21_CaratTimesTable,0.9751807485334177,0.9751807485334177
Y21_MeanXY,Y21_CaratTimesTable,0.9751757281410732,0.9751757281410732
Y21_CaratPerFaceArea,Y21_CaratTimesDepth,0.9749959542637581,0.9749959542637581
Y21_MinDimension,Y21_FaceAreaPerCarat,-0.9749556245999554,0.9749556245999554
z,Y21_FaceAreaPerCarat,-0.9749510939452131,0.9749510939452131
Y21_YZAbsDiff,Y21_MeanXY,0.974834377137286,0.974834377137286
Y21_FaceDiagonal,Y21_YZAbsDiff,0.9748021233596462,0.9748021233596462
Y21_XZAbsDiff,Y21_DepthToFaceArea,-0.974628411493998,0.974628411493998
Y21_YZAbsDiff,Y21_DepthToFaceArea,-0.9745022181993583,0.9745022181993583
y,Y21_CaratTimesTable,0.9742367229532768,0.9742367229532768
Y21_YZAbsDiff,Y21_MaxDimension,0.9742180337680466,0.9742180337680466
Y21_FaceArea,Y21_DimensionRange,0.9742141648484105,0.9742141648484105
Y21_FaceArea,Y21_DimensionStd,0.9741432835665793,0.9741432835665793
x,Y21_CaratTimesDepth,0.9740133416695326,0.9740133416695326
Y21_FaceDiagonal,Y21_CaratTimesDepth,0.9738484157827263,0.9738484157827263
Y21_MeanXY,Y21_CaratTimesDepth,0.973844008720631,0.973844008720631
Y21_FaceArea,Y21_CaratPerFaceArea,0.97384150223686,0.97384150223686
Y21_MaxDimension,Y21_CaratTimesDepth,0.973797427593422,0.973797427593422
Y21_FaceArea,Y21_XZAbsDiff,0.9733845671687303,0.9733845671687303
Y21_XZRatio,Y21_VolumeToMeanCube,-0.9733213327692484,0.9733213327692484
y,Y21_CaratTimesDepth,0.9730359378697019,0.9730359378697019
x,Y21_YZAbsDiff,0.9726009053972307,0.9726009053972307
Y21_MeanXYZ,Y21_DepthToFaceArea,-0.9722566944816233,0.9722566944816233
Y21_DimensionCV,Y21_VolumeToMeanCube,-0.9713596426327816,0.9713596426327816
Y21_MeanXYZ,Y21_DimensionRange,0.97124490306908,0.97124490306908
Y21_MinDimension,Y21_CaratTimesTable,0.9709912560380713,0.9709912560380713
z,Y21_CaratTimesTable,0.9709860789844595,0.9709860789844595
Y21_MeanXYZ,Y21_DimensionStd,0.9709628368041255,0.9709628368041255
carat,Y21_CaratPerFaceArea,0.970888719303249,0.970888719303249
Y21_FaceArea,Y21_YZAbsDiff,0.970877272899532,0.970877272899532
Y21_CaratPerFaceArea,Y21_VolumeTimesDepth,0.9705935908874811,0.9705935908874811
Y21_XZAbsDiff,Y21_MeanXYZ,0.9701085624723472,0.9701085624723472
Y21_MeanXYZ,Y21_FaceAreaPerCarat,-0.9682436638431279,0.9682436638431279
Y21_YZNormalizedDiff,Y21_DimensionCV,0.9680742879923612,0.9680742879923612
Y21_YZAbsDiff,Y21_MeanXYZ,0.9676568989471352,0.9676568989471352
Y21_CaratPerFaceArea,Y21_CaratTimesTable,0.9671557380618476,0.9671557380618476
Y21_YZRatio,Y21_VolumeToMeanCube,-0.9659678121067609,0.9659678121067609
Y21_Volume,Y21_CaratPerFaceArea,0.9654905972623866,0.9654905972623866
Y21_MaxDimension,Y21_FaceAreaPerCarat,-0.9642961935718776,0.9642961935718776
x,Y21_FaceAreaPerCarat,-0.9642392657711931,0.9642392657711931
Y21_FaceDiagonal,Y21_FaceAreaPerCarat,-0.9641506087761655,0.9641506087761655
Y21_MeanXY,Y21_FaceAreaPerCarat,-0.9641410765973851,0.9641410765973851
y,Y21_FaceAreaPerCarat,-0.963411016033913,0.963411016033913
Y21_XZNormalizedDiff,Y21_VolumeToMeanCube,-0.9631783201372244,0.9631783201372244
Y21_DimensionRange,Y21_FaceAreaTimesDepth,0.9590688737370046,0.9590688737370046
Y21_DimensionStd,Y21_FaceAreaTimesDepth,0.9587783559205808,0.9587783559205808
Y21_XYAbsDiff,Y21_XYSymmetryProxy,-0.9583707527679414,0.9583707527679414
Y21_XYAbsDiff,Y21_XYNormalizedDiff,0.95837075276794,0.95837075276794
Y21_XZAbsDiff,Y21_FaceAreaTimesDepth,0.958365080232182,0.958365080232182
Y21_FaceAreaPerCarat,Y21_DepthToFaceArea,0.9576614847539816,0.9576614847539816
Y21_DepthToFaceDiagonal,Y21_VolumeToMeanCube,0.9563016818904698,0.9563016818904698
Y21_CalculatedDepthPct,Y21_VolumeToMeanCube,0.9555974830085736,0.9555974830085736
Y21_DimensionRange,Y21_CaratPerMeanDimension,0.955507298897921,0.955507298897921
Y21_YZAbsDiff,Y21_FaceAreaTimesDepth,0.9552092224869709,0.9552092224869709
Y21_XZAbsDiff,Y21_CaratPerMeanDimension,0.9551234218280737,0.9551234218280737
Y21_MeanXYZPerCaratCubeRoot,Y21_VolumePerCarat,0.9551100887437486,0.9551100887437486
Y21_DimensionStd,Y21_CaratPerMeanDimension,0.9550568004257937,0.9550568004257937
Y21_FaceArea,Y21_DepthToFaceArea,-0.9538797613373637,0.9538797613373637
Y21_MinDimension,Y21_DepthToFaceArea,-0.9534692610474005,0.9534692610474005
z,Y21_DepthToFaceArea,-0.9534574637428215,0.9534574637428215
Y21_FaceAreaPerCarat,Y21_CaratPerMeanDimension,-0.9531342342444369,0.9531342342444369
depth,Y21_DepthToFaceDiagonal,0.9515364337357421,0.9515364337357421
depth,Y21_CalculatedDepthPct,0.9511996940567718,0.9511996940567718
Y21_YZAbsDiff,Y21_CaratPerMeanDimension,0.9505601652455722,0.9505601652455722
Y21_YZNormalizedDiff,Y21_VolumeToMeanCube,-0.9500290651173503,0.9500290651173503
Y21_Volume,Y21_DimensionRange,0.9494239800563639,0.9494239800563639
Y21_Volume,Y21_DimensionStd,0.9492939527225746,0.9492939527225746
Y21_Volume,Y21_XZAbsDiff,0.949007368034159,0.949007368034159
Y21_FaceAreaPerCarat,Y21_FaceAreaTimesDepth,-0.9487222857024713,0.9487222857024713
Y21_XZAbsDiff,Y21_CaratTimesTable,0.9474112770333668,0.9474112770333668
Y21_DimensionRange,Y21_CaratTimesTable,0.9473118328000386,0.9473118328000386
Y21_DimensionStd,Y21_CaratTimesTable,0.9468637548859888,0.9468637548859888
Y21_XZRatio,Y21_YZRatio,0.9460756993584459,0.9460756993584459
Y21_DepthToFaceArea,Y21_FaceAreaTimesDepth,-0.9457237359290814,0.9457237359290814
Y21_Volume,Y21_YZAbsDiff,0.945605445467515,0.945605445467515
carat,Y21_DimensionRange,0.9453127401766047,0.9453127401766047
carat,Y21_XZAbsDiff,0.9451491753879878,0.9451491753879878
carat,Y21_DimensionStd,0.9450425154533153,0.9450425154533153
depth,Y21_DimensionCV,-0.9438995233205432,0.9438995233205432
Y21_CaratPerMeanDimension,Y21_DepthToFaceArea,-0.9431664236420906,0.9431664236420906
Y21_MinDimension,Y21_DimensionRange,0.942460556835705,0.942460556835705
z,Y21_DimensionRange,0.9424473493053275,0.9424473493053275
Y21_YZAbsDiff,Y21_CaratTimesTable,0.9420761043189476,0.9420761043189476
Y21_MinDimension,Y21_DimensionStd,0.9418568916792932,0.9418568916792932
z,Y21_DimensionStd,0.9418436616784539,0.9418436616784539
Y21_XZAbsDiff,Y21_MinDimension,0.9414408425386449,0.9414408425386449
z,Y21_XZAbsDiff,0.9414277426141933,0.9414277426141933
Y21_FaceArea,Y21_FaceAreaPerCarat,-0.9408264180158428,0.9408264180158428
carat,Y21_YZAbsDiff,0.9407375056822845,0.9407375056822845
Y21_CaratPerFaceArea,Y21_DepthToFaceArea,-0.9399852698573146,0.9399852698573146
Y21_YPerCaratCubeRoot,Y21_MeanXYPerCaratCubeRoot,0.9389962604040208,0.9389962604040208
Y21_YZAbsDiff,Y21_MinDimension,0.9380246180584811,0.9380246180584811
z,Y21_YZAbsDiff,0.9380112394202744,0.9380112394202744
Y21_DimensionRange,Y21_VolumeTimesDepth,0.937005041478411,0.937005041478411
Y21_XZRatio,Y21_XZNormalizedDiff,0.9368859016525833,0.9368859016525833
Y21_DimensionStd,Y21_VolumeTimesDepth,0.936711182024448,0.936711182024448
Y21_XZAbsDiff,Y21_VolumeTimesDepth,0.9366815004601678,0.9366815004601678
Y21_YZRatio,Y21_YZNormalizedDiff,0.9356796545106701,0.9356796545106701
Y21_YZAbsDiff,Y21_VolumeTimesDepth,0.9328000999012407,0.9328000999012407
Y21_DimensionRange,Y21_CaratTimesDepth,0.9319590217452886,0.9319590217452886
Y21_XZAbsDiff,Y21_CaratTimesDepth,0.9318906660905751,0.9318906660905751
Y21_DimensionStd,Y21_CaratTimesDepth,0.9315204317174487,0.9315204317174487
Y21_YZAbsDiff,Y21_CaratTimesDepth,0.9269862243020458,0.9269862243020458
Y21_XPerCaratCubeRoot,Y21_MeanXYPerCaratCubeRoot,0.9263167060720809,0.9263167060720809
Y21_DimensionRange,Y21_CaratPerFaceArea,0.9255394677407773,0.9255394677407773
Y21_XZAbsDiff,Y21_CaratPerFaceArea,0.9253304492246774,0.9253304492246774
Y21_DimensionStd,Y21_CaratPerFaceArea,0.9245201845353204,0.9245201845353204
Y21_VolumePerCarat,Y21_Compactness,-0.9220315646771884,0.9220315646771884
Y21_XZNormalizedDiff,Y21_YZNormalizedDiff,0.9216209806113407,0.9216209806113407
Y21_FaceAreaPerCarat,Y21_CaratTimesDepth,-0.9212452217670163,0.9212452217670163
Y21_MeanXYPerCaratCubeRoot,Y21_MeanXYZPerCaratCubeRoot,0.9208714605849735,0.9208714605849735
depth,Y21_YZNormalizedDiff,-0.9195692987960314,0.9195692987960314
Y21_YZAbsDiff,Y21_CaratPerFaceArea,0.9186337107265061,0.9186337107265061
carat,Y21_FaceAreaPerCarat,-0.9185228520662844,0.9185228520662844
Y21_FaceAreaPerCarat,Y21_VolumeTimesDepth,-0.9180228726117301,0.9180228726117301
Y21_Volume,Y21_DepthToFaceArea,-0.9171244160834414,0.9171244160834414
depth,Y21_XZNormalizedDiff,-0.9147814830137316,0.9147814830137316
Y21_FaceAreaPerCarat,Y21_CaratTimesTable,-0.9146817225509294,0.9146817225509294
carat,Y21_DepthToFaceArea,-0.9145805725083178,0.9145805725083178
Y21_Volume,Y21_FaceAreaPerCarat,-0.9143420792958566,0.9143420792958566
Y21_DimensionRange,Y21_FaceAreaPerCarat,-0.9136169755764919,0.9136169755764919
Y21_DepthToFaceArea,Y21_CaratTimesTable,-0.9135763372424502,0.9135763372424502
Y21_XZAbsDiff,Y21_FaceAreaPerCarat,-0.912866949590112,0.912866949590112
Y21_DimensionStd,Y21_FaceAreaPerCarat,-0.9126919743232829,0.9126919743232829
Y21_MeanXYPerCaratCubeRoot,Y21_Compactness,-0.9117898224480006,0.9117898224480006
Y21_XZRatio,Y21_DimensionCV,0.9101784105625765,0.9101784105625765
Y21_DepthToFaceArea,Y21_VolumeTimesDepth,-0.9100490137372774,0.9100490137372774
Y21_YZAbsDiff,Y21_FaceAreaPerCarat,-0.9082043512052838,0.9082043512052838
Y21_DepthToFaceArea,Y21_CaratTimesDepth,-0.9065868830400845,0.9065868830400845
Y21_YZRatio,Y21_DimensionCV,0.9030839918183172,0.9030839918183172
table,Y21_DepthTableRatio,-0.8998747735335025,0.8998747735335025
table,Y21_TableDepthRatio,0.8990920723150722,0.8990920723150722
Y21_YZRatio,Y21_CalculatedDepthPct,-0.893312123007431,0.893312123007431
Y21_YZRatio,Y21_DepthToFaceDiagonal,-0.8928676840896027,0.8928676840896027
Y21_XYAbsDiff,Y21_CaratTimesXYAsymmetry,0.8905739100444937,0.8905739100444937
Y21_XZRatio,Y21_DepthToFaceDiagonal,-0.8899834468855313,0.8899834468855313
Y21_XZRatio,Y21_CalculatedDepthPct,-0.8893243795186022,0.8893243795186022
Y21_XZNormalizedDiff,Y21_ZPerCaratCubeRoot,-0.8869158324923678,0.8869158324923678
Y21_YPerCaratCubeRoot,Y21_Compactness,-0.8844337532308272,0.8844337532308272
Y21_YPerCaratCubeRoot,Y21_MeanXYZPerCaratCubeRoot,0.8829010329198694,0.8829010329198694
Y21_DimensionCV,Y21_ZPerCaratCubeRoot,-0.8796906694539203,0.8796906694539203
Y21_ZPerCaratCubeRoot,Y21_DepthToFaceDiagonal,0.8784771938742644,0.8784771938742644
Y21_ZPerCaratCubeRoot,Y21_CalculatedDepthPct,0.8781550888878493,0.8781550888878493
Y21_YZRatio,Y21_XZNormalizedDiff,0.8756618699392644,0.8756618699392644
Y21_ZPerCaratCubeRoot,Y21_VolumeToMeanCube,0.8754436613474766,0.8754436613474766
Y21_CaratPerVolume,Y21_Compactness,0.8680818166668911,0.8680818166668911
Y21_XZRatio,Y21_YZNormalizedDiff,0.867607638788927,0.867607638788927
depth,Y21_VolumeToMeanCube,0.8666064385183241,0.8666064385183241
Y21_CaratPerVolume,Y21_VolumePerCarat,-0.8660700736602772,0.8660700736602772
Y21_XZRatio,Y21_ZPerCaratCubeRoot,-0.8524279142737387,0.8524279142737387
Y21_YZNormalizedDiff,Y21_ZPerCaratCubeRoot,-0.8458356760401822,0.8458356760401822
Y21_XPerCaratCubeRoot,Y21_MeanXYZPerCaratCubeRoot,0.8330751647015155,0.8330751647015155
Y21_MeanXYZPerCaratCubeRoot,Y21_CaratPerVolume,-0.8307645698258175,0.8307645698258175
depth,Y21_MeanXYPerCaratCubeRoot,-0.830270743161229,0.830270743161229
Y21_YZRatio,Y21_ZPerCaratCubeRoot,-0.8250544646904384,0.8250544646904384
Y21_XPerCaratCubeRoot,Y21_Compactness,-0.8136423640531005,0.8136423640531005
table,Y21_DepthTimesTable,0.8133425011028413,0.8133425011028413
Y21_MeanXYPerCaratCubeRoot,Y21_CalculatedDepthPct,-0.8076974265664797,0.8076974265664797
Y21_MeanXYPerCaratCubeRoot,Y21_DepthToFaceDiagonal,-0.8073231869339219,0.8073231869339219
Y21_YZNormalizedDiff,Y21_MeanXYPerCaratCubeRoot,0.801801315895684,0.801801315895684
Y21_XZNormalizedDiff,Y21_XPerCaratCubeRoot,0.8002081761374339,0.8002081761374339
Y21_YZNormalizedDiff,Y21_YPerCaratCubeRoot,0.7962782452735462,0.7962782452735462
Y21_DimensionCV,Y21_MeanXYPerCaratCubeRoot,0.795833798624964,0.795833798624964
depth,Y21_XPerCaratCubeRoot,-0.7919100201916792,0.7919100201916792
depth,Y21_ZPerCaratCubeRoot,0.7857112465303996,0.7857112465303996
Y21_XPerCaratCubeRoot,Y21_DepthToFaceDiagonal,-0.7756660801842262,0.7756660801842262
Y21_XPerCaratCubeRoot,Y21_CalculatedDepthPct,-0.7749420754044023,0.7749420754044023
Y21_DimensionCV,Y21_XPerCaratCubeRoot,0.7740610342055861,0.7740610342055861
depth,Y21_YZRatio,-0.7726084725519434,0.7726084725519434
Y21_MeanXYPerCaratCubeRoot,Y21_VolumePerCarat,0.7711772919906521,0.7711772919906521
depth,Y21_XZRatio,-0.7655912981125559,0.7655912981125559
depth,Y21_YPerCaratCubeRoot,-0.7587923004765614,0.7587923004765614
Y21_XZNormalizedDiff,Y21_MeanXYPerCaratCubeRoot,0.7561706177815752,0.7561706177815752
Y21_XYSymmetryProxy,Y21_CaratTimesXYAsymmetry,-0.7542192879993923,0.7542192879993923
Y21_XYNormalizedDiff,Y21_CaratTimesXYAsymmetry,0.7542192879993879,0.7542192879993879
Y21_YPerCaratCubeRoot,Y21_VolumePerCarat,0.7509852040008643,0.7509852040008643
