carat,Carat_Group,clarity,cut,color,price,x,y,z,Volume_Proxy,Carat_Per_Volume,Mismatch_Features
0.2,0.20-0.39,VS2,Premium,E,367,3.81,3.78,2.24,32.260032,0.006199621872662742,z; 
0.2,0.20-0.39,VS2,Premium,E,367,3.81,3.78,2.32,33.412175999999995,0.005985841808088166,z; 
0.2,0.20-0.39,VS2,Premium,E,367,3.84,3.8,2.28,33.26975999999999,0.006011465066174209,z; 
0.2,0.20-0.39,VS2,Ideal,E,367,3.86,3.84,2.3,34.091519999999996,0.005866561537883909,z; 
0.2,0.20-0.39,VS2,Premium,F,367,3.73,3.71,2.33,32.243239,0.006202850774390253,y; z; 
0.2,0.20-0.39,VS2,Ideal,D,367,3.81,3.77,2.33,33.467421,0.0059759609203230805,z; 
0.2,0.20-0.39,VS2,Very Good,E,367,3.74,3.71,2.36,32.745944,0.00610762664224919,y; 
0.2,0.20-0.39,VS2,Ideal,E,367,3.76,3.73,2.33,32.677783999999996,0.006120366056645702,y; z; 
0.2,0.20-0.39,VS2,Premium,D,367,3.73,3.68,2.31,31.707984,0.00630755963545333,y; z; 
0.2,0.20-0.39,VS2,Premium,D,367,3.77,3.72,2.31,32.396364,0.006173532313688043,y; z; 
0.34,0.20-0.39,VS2,Good,E,816,6.65,4.61,2.64,80.93316000000002,0.0042009974650687055,x; Volume_Proxy; Carat_Per_Volume; 
0.47,0.40-0.59,SI1,Fair,E,828,4.75,4.82,3.12,71.43240000000002,0.006579647330903062,Carat_Per_Volume; 
0.39,0.20-0.39,SI2,Premium,H,468,4.51,6.02,4.44,120.546888,0.0032352556459192875,y; z; Volume_Proxy; Carat_Per_Volume; 
0.5,0.40-0.59,SI2,Fair,E,871,4.87,4.75,3.3,76.33725,0.006549882265866272,Carat_Per_Volume; 
0.35,0.20-0.39,VS1,Premium,J,949,5.67,5.64,3.53,112.88516399999997,0.0031004960049488884,x; y; z; Volume_Proxy; Carat_Per_Volume; 
0.35,0.20-0.39,VS1,Premium,J,949,5.67,5.64,3.53,112.88516399999997,0.0031004960049488884,x; y; z; Volume_Proxy; Carat_Per_Volume; 
0.5,0.40-0.59,VS1,Fair,I,969,4.85,4.81,3.23,75.35105499999999,0.006635607159050395,Carat_Per_Volume; 
0.25,0.20-0.39,SI2,Fair,F,1013,4.3,4.23,2.32,42.198479999999996,0.005924384006248567,z; 
0.21,0.20-0.39,VS2,Premium,E,386,3.87,3.83,2.33,34.535493,0.006080700802504831,z; 
0.21,0.20-0.39,VS2,Premium,E,386,3.93,3.89,2.33,35.620341,0.005895507850416142,z; 
0.21,0.20-0.39,VS2,Premium,D,386,3.85,3.81,2.32,34.030919999999995,0.0061708587367018,z; 
0.21,0.20-0.39,VS2,Premium,D,386,3.89,3.86,2.29,34.385266,0.00610726699046039,z; 
0.21,0.20-0.39,VS2,Premium,D,386,3.96,3.93,2.3,35.79444,0.0058668329494748345,z; 
0.5,0.40-0.59,VS1,Premium,J,1035,4.98,4.96,3.1,76.57248,0.006529761083877654,Carat_Per_Volume; 
0.36,0.20-0.39,VVS1,Ideal,E,1043,4.64,4.61,2.54,54.331616,0.006625976300796943,Carat_Per_Volume; 
0.38,0.20-0.39,VVS2,Ideal,E,1068,4.71,4.68,2.06,45.408168,0.008368538453258013,z; Carat_Per_Volume; 
0.5,0.40-0.59,SI1,Fair,F,1069,4.99,4.84,3.18,76.80208800000001,0.00651023966952565,Carat_Per_Volume; 
0.5,0.40-0.59,SI1,Premium,E,1073,5.03,4.87,3.1,75.93791,0.006584326589973309,Carat_Per_Volume; 
0.5,0.40-0.59,SI2,Very Good,F,1125,4.99,4.93,3.12,76.754184,0.00651430285546388,Carat_Per_Volume; 
0.7,0.60-0.79,I1,Fair,H,1138,5.56,5.52,3.44,105.57772799999998,0.006630186245341442,Carat_Per_Volume; 
0.23,0.20-0.39,VVS1,Good,E,498,4.1,4.11,2.31,38.92581,0.005908676017274914,z; 
0.25,0.20-0.39,SI2,Premium,G,1186,5.33,5.28,3.12,87.80428800000001,0.002847241355684132,x; y; z; Volume_Proxy; Carat_Per_Volume; 
0.25,0.20-0.39,SI2,Premium,G,1186,5.33,5.28,3.12,87.80428800000001,0.002847241355684132,x; y; z; Volume_Proxy; Carat_Per_Volume; 
0.5,0.40-0.59,SI1,Good,G,1197,4.93,4.99,3.1,76.26217,0.006556330615821711,Carat_Per_Volume; 
0.5,0.40-0.59,SI1,Premium,E,1238,4.98,4.96,3.1,76.57248,0.006529761083877654,Carat_Per_Volume; 
1.03,1.00-1.49,I1,Fair,E,1262,5.72,5.59,4.42,141.32861599999998,0.007287979102547783,Carat_Per_Volume; 
0.5,0.40-0.59,SI1,Good,G,1286,4.99,4.93,3.1,76.26217,0.006556330615821711,Carat_Per_Volume; 
0.6,0.60-0.79,SI1,Fair,F,1367,5.67,5.61,3.12,99.24314400000002,0.006045757679744607,z; 
0.6,0.60-0.79,SI1,Good,F,1367,5.24,5.21,3.33,90.910332,0.006599909898030072,Volume_Proxy; 
0.64,0.60-0.79,VS2,Fair,I,1411,5.85,5.69,3.19,106.183935,0.006027277101757436,z; 
0.35,0.20-0.39,VS2,Fair,G,1415,5.57,5.53,3.66,112.73568600000002,0.0031046070008391127,x; y; z; Volume_Proxy; Carat_Per_Volume; 
0.35,0.20-0.39,VS2,Fair,G,1415,5.57,5.53,3.66,112.73568600000002,0.0031046070008391127,x; y; z; Volume_Proxy; Carat_Per_Volume; 
0.52,0.40-0.59,SI1,Good,F,1427,4.92,4.98,3.24,79.38518400000001,0.006550340678179948,Carat_Per_Volume; 
0.6,0.60-0.79,SI1,Good,F,1599,5.68,5.57,3.21,101.556696,0.005908029934333429,z; 
0.62,0.60-0.79,SI1,Fair,F,1641,5.85,5.7,3.18,106.0371,0.005847010150221008,z; 
0.7,0.60-0.79,SI2,Fair,D,1696,5.47,5.28,3.85,111.19416,0.006295294644970563,z; 
0.96,0.80-0.99,I1,Fair,H,1739,5.97,5.83,4.08,142.004808,0.00676033448106912,Carat_Per_Volume; 
0.99,0.80-0.99,I1,Fair,J,1789,6.01,5.8,4.35,151.6323,0.006528951944935216,z; 
0.96,0.80-0.99,I1,Fair,H,1808,6.21,6.0,3.68,137.1168,0.007001330252748021,Carat_Per_Volume; 
0.55,0.40-0.59,VS2,Very Good,E,1831,5.31,5.34,2.25,63.79964999999999,0.008620736947616486,Carat_Per_Volume; 
0.7,0.60-0.79,SI1,Fair,I,1848,5.54,5.5,3.42,104.20739999999999,0.0067173732383688685,Carat_Per_Volume; 
0.7,0.60-0.79,SI1,Fair,D,1895,6.04,5.99,3.14,113.60394400000001,0.006161757905165686,z; 
0.7,0.60-0.79,VS2,Fair,J,1896,5.34,5.37,3.61,103.51963799999999,0.006762002007773636,Carat_Per_Volume; 
0.51,0.40-0.59,VS1,Very Good,E,1970,5.12,5.15,31.8,838.5024000000001,0.0006082272394211393,z; Volume_Proxy; Carat_Per_Volume; 
0.74,0.60-0.79,VS2,Good,H,1989,5.79,5.66,3.4,111.42276,0.006641372014119916,Carat_Per_Volume; 
0.71,0.60-0.79,SI2,Fair,G,1994,5.46,5.37,3.55,104.08671,0.006821235871515201,Carat_Per_Volume; 
0.53,0.40-0.59,VVS2,Ideal,F,2030,5.16,6.2,3.25,103.974,0.005097428203204648,Carat_Per_Volume; 
0.51,0.40-0.59,VS1,Ideal,E,2075,5.15,31.8,5.12,838.5024000000001,0.0006082272394211393,y; z; Volume_Proxy; Carat_Per_Volume; 
0.72,0.60-0.79,SI2,Fair,E,2125,5.38,5.32,3.66,104.75505600000001,0.006873176603523556,Carat_Per_Volume; 
0.7,0.60-0.79,SI1,Fair,E,2125,5.49,5.41,3.55,105.438195,0.0066389603881212116,Carat_Per_Volume; 
0.7,0.60-0.79,SI1,Premium,H,2176,6.65,5.69,3.46,130.92121,0.005346727241521828,x; Carat_Per_Volume; 
0.5,0.40-0.59,VVS1,Very Good,G,2180,5.01,5.04,5.06,127.76702399999999,0.00391337282771805,z; Carat_Per_Volume; 
0.7,0.60-0.79,SI1,Premium,F,2184,5.65,4.5,3.0,76.275,0.009177318911832185,y; z; Volume_Proxy; Carat_Per_Volume; 
0.81,0.80-0.99,SI2,Fair,F,2301,5.26,5.2,3.58,97.92016000000001,0.00827204530711551,x; y; Volume_Proxy; Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,G,2326,6.0,5.73,4.13,141.98940000000002,0.00704277924971864,Carat_Per_Volume; 
0.89,0.80-0.99,VS1,Fair,I,2334,5.82,5.74,3.94,131.622792,0.0067617468561220005,Carat_Per_Volume; 
0.79,0.60-0.79,SI1,Fair,G,2362,5.52,5.13,3.35,94.86395999999999,0.008327714761222281,y; Carat_Per_Volume; 
0.75,0.60-0.79,SI1,Fair,F,2363,5.65,5.54,3.61,112.99661,0.0066373672626107985,Carat_Per_Volume; 
0.9,0.80-0.99,SI2,Fair,H,2376,5.89,5.79,3.86,131.63796599999998,0.006836933350975662,Carat_Per_Volume; 
1.2,1.00-1.49,I1,Fair,I,2376,6.57,6.05,4.37,173.700945,0.006908425282314958,Carat_Per_Volume; 
0.7,0.60-0.79,SI1,Premium,E,2396,6.65,5.73,3.48,132.60366,0.005278888983908891,x; Carat_Per_Volume; 
0.9,0.80-0.99,SI1,Fair,J,2438,5.92,5.87,3.81,132.399024,0.006797633191012043,Carat_Per_Volume; 
0.96,0.80-0.99,SI2,Fair,G,2438,6.01,5.81,4.28,149.449468,0.006423575893893446,z; 
1.0,1.00-1.49,SI2,Fair,H,2530,6.08,6.02,4.1,150.06655999999998,0.006663709756524039,Carat_Per_Volume; 
0.96,0.80-0.99,SI2,Fair,I,2540,6.07,5.9,3.97,142.17761000000002,0.006752118002264913,Carat_Per_Volume; 
